Content ID,Title,Year,Age,IMDb,Rotten Tomatoes,Hidden Gem,Awards Received,Awards Nominated,Directors,Platform,Type
NM189,Quincy,2018,18+,76,79,68,8,8,Rashida Jones,Netflix,Movie
NM190,The Patriot,2000,18+,72,79,33,9,20,Roland Emmerich,Netflix,Movie
NM191,Get In,2019,18+,56,79,68,0,2,Olivier Abbou,Netflix,Movie
NM192,Zz Top: That Little Ol' Band From Texas,2019,all,75,79,84,0,1,Sam Dunn,Netflix,Movie
NM193,Jerry Before Seinfeld,2017,16+,70,79,65,0,0,Michael Bonfiglio,Netflix,Movie
NM194,Mike Birbiglia: The New One,2019,all,77,78,81,0,0,Seth Barrish,Netflix,Movie
NM195,A Silent Voice: The Movie,2016,13+,82,78,40,4,8,Naoko Yamada,Netflix,Movie
NM196,Klaus,2019,7+,82,78,37,10,25,Sergio Pablos,Netflix,Movie
NM197,Snowden,2016,18+,73,78,32,4,7,Oliver Stone,Netflix,Movie
NM198,"Nick Kroll & John Mulaney: Oh, Hello On Broadway",2017,18+,77,78,39,0,0,,Netflix,Movie
NM199,What'S Eating Gilbert Grape,1993,13+,77,78,40,8,7,Lasse Hallström,Netflix,Movie
NM200,The Da Vinci Code,2006,13+,66,78,23,8,21,Ron Howard,Netflix,Movie
NM201,Stranger Than Fiction,2006,13+,75,78,36,3,15,Marc Forster,Netflix,Movie
NM202,Don 2,2011,all,71,78,32,8,7,Farhan Akhtar,Netflix,Movie
NM203,Elena,2013,all,76,78,39,0,0,Andrey Zvyagintsev,Netflix,Movie
NM204,Real Steel,2011,13+,70,78,31,2,6,Shawn Levy,Netflix,Movie
NM205,The Founder,2017,13+,72,78,36,1,4,John Lee Hancock,Netflix,Movie
NM206,Stargate,1994,13+,71,78,42,5,10,Roland Emmerich,Netflix,Movie
NM207,Shirkers,2018,all,74,78,71,8,31,Sandi Tan,Netflix,Movie
NM208,Chef,2014,18+,73,78,38,2,4,Jon Favreau,Netflix,Movie
NM209,Fire In The Blood,2013,all,77,78,86,7,2,Dylan Mohan Gray,Netflix,Movie
NM210,Austin Powers: International Man Of Mystery,1997,13+,70,78,32,3,8,Jay Roach,Netflix,Movie
NM211,Miles Davis: Birth Of The Cool,2019,all,74,78,83,1,7,,Netflix,Movie
NM212,Insidious,2010,13+,68,78,31,8,15,James Wan,Netflix,Movie
NM213,Screwball,2019,all,71,78,83,2,1,Billy Corben,Netflix,Movie
NM214,The Old Guard,2020,18+,67,78,34,2,16,Gina Prince-Bythewood,Netflix,Movie
NM215,Rango,2011,7+,72,78,39,46,25,Gore Verbinski,Netflix,Movie
NM216,Before I Wake,2016,13+,62,78,32,0,1,Mike Flanagan,Netflix,Movie
NM217,The Disaster Artist,2017,18+,74,78,40,31,79,James Franco,Netflix,Movie
NM218,Fruitvale Station,2013,18+,75,77,42,37,56,Ryan Coogler,Netflix,Movie
NM219,The Florida Project,2017,18+,76,77,44,66,129,Sean Baker,Netflix,Movie
NM220,Behind The Curve,2018,16+,65,77,46,1,1,Daniel J. Clark,Netflix,Movie
NM221,Lawless,2012,18+,73,77,33,1,8,John Hillcoat,Netflix,Movie
NM222,Errementari: The Blacksmith And The Devil,2018,18+,64,77,34,4,2,Paul Urkijo Alijo,Netflix,Movie
NM223,Audrie & Daisy,2016,all,72,77,58,2,8,Bonni Cohen,Netflix,Movie
NM224,Quantum Of Solace,2008,13+,66,77,31,4,32,Marc Forster,Netflix,Movie
NM225,The Master,2012,18+,72,77,40,75,187,Paul Thomas Anderson,Netflix,Movie
NM226,Layer Cake,2004,18+,73,77,38,2,9,Matthew Vaughn,Netflix,Movie
NM227,Flipped,2010,7+,77,77,29,2,2,Rob Reiner,Netflix,Movie
NM228,Steve Martin And Martin Short: An Evening You Will Forget For The Rest Of Your Life,2018,16+,71,77,82,0,5,Marcus Raboy,Netflix,Movie
NM229,Friends With Benefits,2011,18+,65,77,33,1,5,Will Gluck,Netflix,Movie
NM230,Tig,2015,all,74,77,76,0,3,Kristina Goolsby,Netflix,Movie
NM231,Roll Red Roll,2019,all,71,77,83,6,2,Nancy Schwartzman,Netflix,Movie
NM232,Enola Holmes,2020,13+,66,77,33,0,6,Harry Bradbeer,Netflix,Movie
NM233,Pk,2015,13+,81,77,40,0,0,Rajkumar Hirani,Netflix,Movie
NM234,Good Time,2017,18+,74,77,41,6,49,Benny Safdie,Netflix,Movie
NM235,The Next Three Days,2010,13+,73,77,29,0,3,Paul Haggis,Netflix,Movie
NM236,Miracle In Cell No. 7,2019,16+,82,77,40,0,0,Mehmet Ada Öztekin,Netflix,Movie
NM237,Like Stars On Earth,2007,7+,84,77,40,0,0,Aamir Khan,Netflix,Movie
NM238,Trixie Mattel: Moving Parts,2019,all,73,77,84,0,0,Nicholas Zeig-Owens,Netflix,Movie
NM239,Talaash,2012,all,72,77,36,7,16,Reema Kagti,Netflix,Movie
